instr,term,enroll,evals,rmd_class,rmd_instr,time,Course_ID,Course_Name,expected_grade,expected_gpa,actual_grade,actual_gpa
"Katz, Hazel",SP23,24,17,100.0,100.0,3.56,ANSC 186,Gender and Incarceration (A),A,4.0,A-,3.91
"Donald, Nancy Ann",SP23,74,52,98.0,100.0,3.01,ANTH 10,Climate Justice (A),A-,3.72,A-,3.75
"Hankins, Joseph D.",SP23,95,32,96.9,100.0,5.88,ANTH 103,Sociocultural Anthropology (A),A-,3.7,B+,3.42
"Bialecki, Jon Anthony",SP23,21,9,100.0,88.9,4.28,ANTH 111,Religion&Ecology/Anthropocene (A),B+,3.67,B+,3.58
"Jones, Ian William Nasser",SP23,28,11,100.0,100.0,3.59,ANTH 112,Regenerative Science/Ecology (A),B+,3.55,B+,3.68
"Marchetto, Maria Carolina",SP23,150,49,100.0,95.9,3.19,ANTH 2,Human Origins (A),A-,3.76,B+,3.55
"Stroth, Luke Reyneri",SP23,113,54,94.2,96.2,2.54,ANTH 3,Global Archaeology (A),B+,3.69,B+,3.57
"Ejmont, Sylwia D.",SP23,20,14,92.9,85.7,7.07,AWP 4B,Analytical Writing B (0),B+,3.36,C+,2.69
"Alexandrov, Ludmil B",SP23,132,70,61.5,86.2,6.56,BENG 100,Intro to Prob & Stats for BENG (A),B,3.03,B,3.03
"Fraley, Stephanie I.",SP23,128,86,75.0,94.0,8.6,BENG 103B,Bioengineering Mass Transfer (A),B,3.22,B,3.09
"Shi, Lingyan",SP23,56,39,84.2,71.1,5.24,BENG 112B,Fluid and Cell Biomechanics (A),B+,3.5,B,3.21
"Hasty, Jeff M",SP23,136,37,88.9,80.6,4.27,BENG 125,Modeling & Computatio/Bioengr (A),B+,3.57,B+,3.46
"Cabrales, Pedro",SP23,72,47,80.4,82.6,6.88,BENG 140B,Bioengineering Physiology (A),B+,3.32,B,3.25
"Cabrales, Pedro",SP23,53,27,75.0,100.0,8.02,BENG 172,Bioengineering Laboratory (A),A-,3.8,B+,3.62
"Omens, Jeffrey Howard",SP23,53,27,75.0,94.1,8.02,BENG 172,Bioengineering Laboratory (A),A-,3.8,B+,3.62
"Bafna, Vineet",SP23,20,8,71.4,85.7,4.79,BENG 182,Biological Databases (A),A-,3.71,B,3.22
"Dickinson, Alexandra Jazz",SP23,267,228,96.9,100.0,6.45,BIBC 102,Metabolic Biochemistry (A),B+,3.68,B+,3.65
"Coleman, Aaron B.",SP23,47,33,97.0,97.0,6.38,BIBC 103,Biochemical Techniques (A),B+,3.33,B,3.03
"Burg, Michael",SP23,47,42,95.2,95.2,7.4,BIBC 103,Biochemical Techniques (B),B,3.24,B,3.26
"Beyhan, Sinem",SP23,47,26,92.0,96.0,6.58,BIBC 103,Biochemical Techniques (C),A-,3.73,B+,3.6
"Reinagel, Pam",SP23,63,21,80.0,77.8,3.9,BICD 100,Genetics (B),B+,3.45,B-,2.8
"Rusert, Jessica Marie",SP23,210,157,92.9,89.0,6.38,BICD 100,Genetics (D),B+,3.33,B-,2.91
"Muroyama, Andrew David",SP23,219,180,94.4,98.9,6.66,BICD 110,Cell Biology (A),B+,3.49,B,3.29
"Forbes, Douglass Jane",SP23,298,248,91.5,95.1,5.5,BICD 110,Cell Biology (B),B+,3.53,A-,3.74
"Lu, Li-Fan",SP23,205,144,86.7,90.2,7.94,BICD 140,Immunology (A),B,3.09,B,3.2
"Bier, Ethan",SP23,123,64,90.3,80.6,4.66,BICD 158,Active Genetics (A),B+,3.5,B+,3.56
"Butler, Shannon Rhey",SP23,31,12,90.9,81.8,2.14,BIEB 121,Ecology Laboratory (A),A-,3.82,A-,3.94
"Butler, Shannon Rhey",SP23,32,9,100.0,87.5,1.61,BIEB 121,Ecology Laboratory (B),A,4.0,A-,3.85
"Kurle, Carolyn M.",SP23,262,117,99.1,99.1,3.61,BIEB 130,Marine Conservation Biology (A),A-,3.9,A-,3.93
"Petrie, Katherine Lynn",SP23,395,306,95.0,97.7,4.51,BIEB 146,Genome Diversity and Dynamics (A),B+,3.66,B+,3.44
"Kryazhimskiy, Sergey A",SP23,321,256,90.0,85.1,5.23,BIEB 152,Evol of Infectious Diseases (A),B+,3.42,B+,3.48
"Stockwell, Sarah R",SP23,46,36,83.3,91.7,7.67,BIEB 154,Evolutionary Inquiry (A),B,3.2,B-,2.87
"Patrick, Gentry",SP23,134,44,87.8,78.0,5.86,BILD 1,The Cell (A),B,3.03,B-,2.91
"Rusert, Jessica Marie",SP23,157,102,81.2,86.0,5.81,BILD 1,The Cell (D),B-,2.93,C+,2.44
"Burg, Michael",SP23,238,186,96.2,95.2,5.39,BILD 2,Multicellular Life (A),B,3.23,B-,2.94
"Park, Ji Young",SP23,205,165,96.3,96.3,6.1,BILD 2,Multicellular Life (B),B+,3.42,B,3.01
"Park, Ji Young",SP23,245,197,93.9,93.8,5.72,BILD 2,Multicellular Life (C),B+,3.43,B-,2.92
"Pillus, Lorraine",SP23,121,99,70.8,84.0,4.13,BILD 20,Human Genetics/Modern Society (A),B-,2.78,B,3.06
"Goldrath, Ananda",SP23,63,41,75.0,85.0,5.09,BILD 28,Immunology/Vaccines (A),C+,2.61,B-,2.92
"Stockwell, Sarah R",SP23,343,265,87.5,91.6,4.77,BILD 3,Organismic&Evolutionary Biol (C),B+,3.35,B-,2.9
"Reuther, Keefe",SP23,318,230,88.6,93.0,4.77,BILD 3,Organismic&Evolutionary Biol (D),B+,3.31,B-,3.0
"Madigan, Cressida Ariana",SP23,87,73,97.3,93.2,3.18,BILD 30,Biol of Plagues:Past & Present (A),B+,3.69,B,3.17
"Mel, Stephanie",SP23,93,39,100.0,100.0,3.5,BILD 4,Introductory Biology Lab (A),B+,3.61,B+,3.48
"Pickett, Brooke Elizabeth",SP23,104,82,96.3,95.1,2.82,BILD 4,Introductory Biology Lab (B),A-,3.85,A-,3.78
"Reuther, Keefe",SP23,99,70,94.1,97.1,3.03,BILD 4,Introductory Biology Lab (C),B+,3.7,A-,3.73
"Mayfield, Stephen P.",SP23,91,34,97.0,93.8,5.95,BILD 42,Our Sustainable Future (A),B,3.21,B-,2.84
"Mueller, Liam O'Connor",SP23,53,34,97.1,100.0,4.56,BILD 5,Data Analysis/Design for Bio (A),A-,3.71,B+,3.52
"Rifkin, Scott",SP23,113,42,75.7,91.9,6.24,BILD 61,"Biology, Race, and Society (A)",A-,3.73,B+,3.41
"Pogliano, Joseph",SP23,31,11,100.0,100.0,2.32,BILD 83,Business Comm for Bio Sci (A),A-,3.88,A,4.0
"Farley, Emma Kristen",SP23,315,219,95.9,98.6,5.65,BIMM 100,Molecular Biology (A),B+,3.49,B,3.12
"Wildonger, Jill Cathleen",SP23,309,218,98.6,99.5,5.04,BIMM 100,Molecular Biology (B),B+,3.57,B+,3.4
"McDonnell, Lisa Marie",SP23,48,22,100.0,100.0,6.0,BIMM 101,Recombinant DNA Techniques (B),A-,3.8,B+,3.68
"Day, Christopher D",SP23,90,41,84.6,84.6,6.35,BIMM 101,Recombinant DNA Techniques (C),B,3.23,B+,3.34
"Grossman, Emily N",SP23,100,92,96.7,98.9,5.12,BIMM 101,Recombinant DNA Techniques (D),B+,3.59,B+,3.63
"Niwa, Maho",SP23,88,38,84.2,81.6,6.92,BIMM 110,Molecular Basis/Human Disease (A),B-,2.97,B,3.05
"Pickett, Brooke Elizabeth",SP23,48,44,100.0,100.0,5.45,BIMM 121,Microbiology Laboratory (A),A-,3.84,A-,3.83
"Gustafson-Brown, Cindy",SP23,93,85,81.2,80.0,6.55,BIMM 121,Microbiology Laboratory (B),B,3.18,B,3.28
"Grant, Barry J",SP23,42,16,100.0,100.0,4.63,BIMM 143,Bioinformatics Laboratory (A),A-,3.87,B+,3.59
"Bafna, Vineet",SP23,47,15,86.7,100.0,9.83,BIMM 182,Biological Databases (A),B+,3.47,B+,3.39
"Goldrath, Ananda",SP23,28,9,75.0,75.0,3.25,BIMM 194,Adv Topics-Molecular Bio (A),A,4.0,A-,3.96
"Russell, Alistair B",SP23,22,10,100.0,100.0,1.83,BIMM 194,Adv Topics-Molecular Bio (C),A,4.0,A-,3.95
"Reyes Gonzalez, Catalina",SP23,296,240,97.1,96.7,7.62,BIPN 100,Human Physiology I (A),B,3.22,B-,2.94
"Reyes Gonzalez, Catalina",SP23,280,227,96.0,99.1,7.28,BIPN 100,Human Physiology I (B),B,3.3,B-,2.95
"Armour, Jon Christopher",SP23,82,27,81.5,92.6,11.88,BIPN 105,Human Physiology Lab (A),B,3.04,B-,2.96
"Cooke, James Edward",SP23,348,201,98.0,99.0,5.68,BIPN 120,Endocrinology (A),B+,3.62,B+,3.42
"Owens, Melinda Tsao-Ying",SP23,169,149,92.6,94.0,7.46,BIPN 140,Cellular Neurobiology (A),B+,3.56,B+,3.47
"Zou, Yimin",SP23,119,90,83.9,87.4,5.49,BIPN 144,Developmental Neurobiology (A),B+,3.31,B,3.06
"Marino, Marc J",SP23,43,30,96.7,100.0,7.97,BIPN 145,Neurobiology Laboratory (B),B+,3.47,B+,3.69
"Benna, Marcus K",SP23,54,22,42.9,71.4,7.68,BIPN 164,Comp Models in Neuro (A),B,3.06,B-,2.94
"French, Kathleen Ann",SP23,35,11,81.8,72.7,1.41,BISP 170,Bioscholars Seminar (A),A-,3.73,B+,3.55
"Chisholm, Andrew D.",SP23,22,10,100.0,100.0,2.5,BISP 194,Adv Topics in Modern Biology (A),A-,3.78,A,4.0
"Estelle, Mark",SP23,28,6,100.0,100.0,4.17,BISP 194,Adv Topics in Modern Biology (B),B+,3.67,A-,3.78
"Bigham, David Joseph",SP23,38,14,85.7,100.0,3.07,CAT 125,Public Rhetoric & Prac Comm (0),A-,3.83,A-,3.7
"Irwin, Matthew Joseph",SP23,39,23,95.7,100.0,3.32,CAT 125,Public Rhetoric & Prac Comm (0),A-,3.76,A-,3.8
"Morales, Celeste Georgianna",SP23,56,16,68.8,87.5,3.3,CAT 125,Public Rhetoric & Prac Comm (0),B+,3.5,A-,3.76
"Tosun, Adriana",SP23,37,34,94.1,100.0,2.97,CAT 125,Public Rhetoric & Prac Comm (0),A-,3.74,B+,3.67
"Vanderschuit, Maya Alysia",SP23,57,51,76.0,92.0,2.97,CAT 125,Public Rhetoric & Prac Comm (0),B+,3.65,B+,3.49
"Hyland, Tina Mae",SP23,20,10,90.0,100.0,3.3,CAT 125R,Pub Rhet & Prac Comm Online (A),B+,3.44,A-,3.98
"Hyland, Tina Mae",SP23,20,8,100.0,100.0,5.36,CAT 125R,Pub Rhet & Prac Comm Online (B),A-,3.71,A-,3.92
"Hyland, Tina Mae",SP23,20,8,100.0,100.0,3.17,CAT 125R,Pub Rhet & Prac Comm Online (C),A-,3.83,A-,3.95
"Smith, Lauryn Alissa",SP23,20,18,94.4,100.0,4.61,CAT 125R,Pub Rhet & Prac Comm Online (E),B+,3.5,B+,3.53
"Tosun, Adriana",SP23,20,16,100.0,100.0,4.5,CAT 125R,Pub Rhet & Prac Comm Online (G),B+,3.69,A-,3.79
"Marchisotto, Jennifer Anne",SP23,267,166,83.4,94.4,3.52,CAT 3,"Culture, Art, and Technology 3 (A)",A-,3.82,A-,3.79
"Delaville, Romain",SP23,262,115,85.0,90.2,3.53,CAT 3,"Culture, Art, and Technology 3 (B)",A-,3.91,A-,3.87
"Bigham, David Joseph",SP23,179,100,85.6,94.4,3.1,CAT 3,"Culture, Art, and Technology 3 (D)",A-,3.76,A-,3.71
"Opatkiewicz, Justin Paul",SP23,46,39,97.4,100.0,8.19,CENG 101C,Mass Transfer (A),B,3.1,B,3.1
"Powell, Alyssa",SP23,51,41,82.9,95.1,8.5,CENG 101C,Mass Transfer (B),B,3.2,B,3.15
"Drews, Aaron",SP23,120,106,86.8,95.3,9.59,CENG 113,Chemical Reaction Engineering (A),B,3.18,B-,2.85
"Powell, Alyssa",SP23,91,49,93.9,98.0,5.48,CENG 124B,Chem Plant & Process Design II (A),B+,3.69,A-,3.88
"Russ, Benjamin Edward",SP23,91,49,93.9,98.0,5.48,CENG 124B,Chem Plant & Process Design II (A),B+,3.69,A-,3.88
"Opatkiewicz, Justin Paul",SP23,52,27,96.2,100.0,5.12,CENG 157,Process Tech in Semiconductor (A),B,3.15,B+,3.35
"Drews, Aaron",SP23,29,18,94.1,88.2,6.38,CENG 170,Experimental Methods/ChemEng (A),B+,3.59,B,3.23
"Steinmetz, Nicole F",SP23,32,15,100.0,100.0,3.93,CENG 175,NanoEngineering in Medicine (A),B+,3.5,B+,3.52
"Zhang, Liangfang",SP23,48,18,100.0,100.0,6.72,CENG 176B,Chem Engineerng Process Lab II (A),A-,3.83,B+,3.69
"Shah, Nisarg",SP23,44,15,92.3,100.0,7.12,CENG 176B,Chem Engineerng Process Lab II (B),A-,3.77,A-,3.73
"Hankins, Joseph D.",SP23,29,14,100.0,100.0,3.27,CGS 100B,Conceptualizing Gndr: Methods (A),A-,3.77,A-,3.79
"Martin Sandino, Amanda Maria Yoland",SP23,34,15,100.0,100.0,3.21,CGS 112,Sexuality & Nation (A),B+,3.64,B+,3.54
"Katz, Hazel",SP23,26,16,100.0,100.0,3.38,CGS 118,Gender and Incarceration (A),A,4.0,A-,3.9
"Martin Sandino, Amanda Maria Yoland",SP23,21,13,100.0,100.0,3.88,CGS 137,Latina Issues & Cultural Prod. (A),A,4.0,A-,3.85
"Li, Shaowei",SP23,102,41,66.7,69.4,10.56,CHEM 100A,Analytical Chemistry Lab (A),B,3.24,B+,3.35
"Pomeroy, Robert S.",SP23,30,13,83.3,83.3,8.96,CHEM 100B,Instrumental Chemistry Lab (A),B,3.23,B,3.04
"Sinha, Amitabha",SP23,37,11,72.7,90.9,9.41,CHEM 105A,Physical Chemistry Laboratory (B),B-,2.91,B-,2.87
"Jennings, Patricia A.",SP23,48,16,81.3,56.3,7.5,CHEM 108,Protein Biochemistry Lab (A),B+,3.31,B+,3.61
"Jennings, Patricia A.",SP23,42,17,58.8,50.0,6.38,CHEM 108,Protein Biochemistry Lab (B),B+,3.65,B+,3.57
"Muller, Ulrich K.",SP23,47,17,82.4,64.7,8.03,CHEM 109,Recombinant DNA Laboratory (A),B+,3.67,A-,3.73
"Muller, Ulrich K.",SP23,44,13,91.7,91.7,7.73,CHEM 109,Recombinant DNA Laboratory (B),B+,3.69,B+,3.5
"Mrse, Anthony Adrian",SP23,237,84,82.7,87.5,4.65,CHEM 11,The Periodic Table (A),B,3.14,C+,2.64
"Thiemens, Mark H",SP23,96,34,83.3,96.6,4.3,CHEM 111,Origins of Life & the Universe (A),B+,3.59,B,3.25
"Mishanina, Tatiana V",SP23,80,49,87.8,100.0,8.83,CHEM 114B,Biochem Energetics&Metabolism (A),B,3.06,B,3.01
"Donoghue, Daniel J.",SP23,236,76,94.4,85.9,5.2,CHEM 118,Pharmacology and Toxicology (A),B+,3.56,B,3.17
"Joseph, Simpson",SP23,29,13,91.7,100.0,7.58,CHEM 119,RNA Biochemistry (A),B+,3.31,B,3.07
"Rinehart, Jeffrey Dennis",SP23,99,29,80.8,80.8,5.04,CHEM 120B,Inorganic Chemistry II (A),B+,3.42,B-,2.85
"Kim, Judy E.",SP23,97,31,83.3,90.0,10.11,CHEM 126B,Phys Biochem: Quantum Mech (A),B,3.0,B-,2.88
"Xiong, Wei",SP23,85,27,64.0,95.8,7.22,CHEM 132,Chem Physics: Stat Thermo II (A),B,3.0,B-,2.78
"Weizman, Haim",SP23,28,12,75.0,100.0,6.32,CHEM 143B,Organic Chemistry Lab II (A),B-,2.82,B,3.24
"Burkart, Michael D",SP23,56,38,73.0,86.5,5.99,CHEM 157,Bioorganic & Natural Prod Chem (A),B,3.09,B-,2.94
"Herzik, Mark Anthony",SP23,21,7,85.7,100.0,3.93,CHEM 165,3D Elctron Microscopy/Macromol (A),B+,3.43,A-,3.72
"Deshmukh, Lalit",SP23,137,78,90.9,90.9,5.49,CHEM 167,Medicinal Chemistry (A),B,3.24,B,3.05
"Young, Mark",SP23,34,12,83.3,75.0,4.5,CHEM 173,Atmospheric Chemistry (A),B,3.27,B,3.2
"Pomeroy, Robert S.",SP23,38,8,100.0,100.0,3.75,CHEM 174,Chem Prin of Marine Systems (A),B+,3.38,B,3.05
"Albizati, Kim F.",SP23,278,102,87.6,96.9,7.71,CHEM 40A,Organic Chemistry I (A),B-,2.96,C+,2.66
"Jazzar, Rodolphe",SP23,301,147,71.8,85.7,6.3,CHEM 40B,Organic Chemistry II (A),B,3.02,B-,2.95
"Jazzar, Rodolphe",SP23,285,131,78.2,89.5,6.75,CHEM 40B,Organic Chemistry II (B),B,3.05,B-,2.93
"Tor, Yitzhak",SP23,118,52,49.0,70.6,9.15,CHEM 40C,Organic Chemistry III (A),B-,2.74,B-,2.9
"Romero, Nathan A",SP23,234,217,59.1,62.9,8.42,CHEM 41C,Organic III: SynthReact&Macro (A),B-,2.75,B,3.1
"Lam, Tin Yiu",SP23,271,127,81.5,86.3,8.42,CHEM 43A,Organic Chemistry Laboratory (A),B+,3.39,B,3.27
"Lam, Tin Yiu",SP23,249,116,80.0,91.8,8.7,CHEM 43A,Organic Chemistry Laboratory (B),B+,3.41,B,3.2
"Deshmukh, Lalit",SP23,261,209,86.1,76.9,6.34,CHEM 6A,General Chemistry I (A),B,3.02,C+,2.69
"Young, Mark",SP23,218,103,54.5,34.0,7.73,CHEM 6B,General Chemistry II (A),C+,2.69,C+,2.63
"Hopkins, Patrycja Anna",SP23,233,120,68.7,71.1,7.28,CHEM 6B,General Chemistry II (B),B-,2.9,B-,2.81
"Albizati, Kim F.",SP23,230,94,93.3,98.9,7.39,CHEM 6C,General Chemistry III (A),B,3.11,B-,2.74
"Hopkins, Patrycja Anna",SP23,208,94,84.4,80.7,6.61,CHEM 6C,General Chemistry III (B),B+,3.32,B-,2.96
"Brydges, Stacey",SP23,276,128,82.5,89.5,6.94,CHEM 6C,General Chemistry III (C),B,3.25,B,3.03
"Stallings, Dontarie M",SP23,280,140,94.7,96.2,7.06,CHEM 6C,General Chemistry III (D),B+,3.57,B,3.12
"Bussey, Thomas J",SP23,204,104,95.0,97.0,6.3,CHEM 6C,General Chemistry III (E),B+,3.42,B,3.02
"Kubiak, Clifford Paul",SP23,26,15,93.3,100.0,7.3,CHEM 6CH,Honors General Chemistry III (A),A-,3.93,A-,3.74
"Schurmeier, Kimberly",SP23,235,105,90.2,90.2,6.46,CHEM 7L,General Chemistry Laboratory (A),B+,3.52,B,3.22
"Schurmeier, Kimberly",SP23,232,91,86.4,94.3,6.57,CHEM 7L,General Chemistry Laboratory (B),B+,3.56,B+,3.34
"Leigh, Brian",SP23,177,83,93.6,98.7,7.32,CHEM 7LM,General Chemistry LabMajors (A),B,3.29,B+,3.33
"Liu, Mingming",SP23,21,19,100.0,100.0,5.24,CHIN 10CD,First Yr Chinese/Dialect III (A),B+,3.67,A-,3.91
"Chen, Pei-Chia",SP23,30,14,100.0,100.0,5.79,CHIN 10CM,First Yr Chinese/Mandarin III (A),A,4.0,A-,3.73
"Xu, Li",SP23,25,12,100.0,100.0,4.5,CHIN 10CN,First Yr Chinese/Non-NativeIII (A),A-,3.9,A-,3.73
"Xu, Li",SP23,24,12,100.0,100.0,5.33,CHIN 10CN,First Yr Chinese/Non-NativeIII (B),B,3.0,B+,3.44
"Wang, Xiao",SP23,21,16,100.0,100.0,3.5,CHIN 20CD,Second Yr Chinese-Dialect III (A),B+,3.69,A-,3.78
"Barrera, Steven James",SP23,463,170,96.3,99.4,3.37,COGS 1,Introduction to Cognitive Sci (A),A-,3.73,B+,3.53
"Simpkins, Charles Alexander",SP23,340,96,85.9,87.0,2.52,COGS 100,Cyborgs Now and in the Future (A),A-,3.87,A-,3.96
"Morgan, Eric",SP23,128,74,94.4,88.7,4.03,COGS 101A,Sensation and Perception (A),A-,3.7,B,3.13
"Barrera, Steven James",SP23,290,96,98.9,98.9,4.01,COGS 101B,"Learning, Memory and Attention (A)",A-,3.72,B+,3.56
"Rangel, Lara M",SP23,338,115,77.6,93.4,5.73,COGS 107A,Neuroanatomy and Physiology (A),B+,3.35,B,3.29
"Chiba, Andrea",SP23,212,51,89.8,95.9,3.96,COGS 107C,Cognitive Neuroscience (A),A-,3.83,A-,3.74
"Fleischer, Jason G",SP23,431,283,95.7,96.4,5.11,COGS 108,Data Science in Practice (A),A-,3.85,A-,3.78
"Mukamel, Eran A",SP23,137,75,94.6,87.8,6.36,COGS 109,Modeling & Data Analysis (A),B+,3.59,B+,3.35
"Hoffman, Drew Ellen",SP23,187,60,98.2,100.0,3.05,COGS 112,Humor (A),A-,3.81,A-,3.81
"Fleischer, Jason G",SP23,158,79,81.6,73.3,7.32,COGS 118A,Supvr/Mach Learning Algorithms (A),B,3.15,B,3.19
"Rill, Bryan",SP23,42,9,66.7,77.8,3.61,COGS 12,"Language, Culture & Cognition (B)",A-,3.75,B,3.28
"Guo, Philip J",SP23,121,29,96.4,96.4,5.04,COGS 121,HCI Portfolio Design Studio (A),A-,3.88,A-,3.72
"Dow, Steven P",SP23,59,26,92.3,96.0,7.14,COGS 122,Startup Studio (A),A-,3.72,B+,3.66
"Klemmer, Scott R",SP23,31,4,66.7,33.3,1.17,COGS 125,Advanced Interaction Design (A),A,4.0,B+,3.52
"Rossano, Federico",SP23,290,75,97.2,98.6,3.68,COGS 13,Fld Methods: Cognition in Wild (A),A-,3.82,B+,3.65
"Simpkins, Charles Alexander",SP23,39,9,55.6,55.6,3.5,COGS 138,Neural Data Science (A),A,4.0,A,4.0
"Rossano, Federico",SP23,48,14,100.0,100.0,2.79,COGS 142,Animal Communication (A),B+,3.64,A-,3.75
"Rossano, Federico",SP23,49,14,85.7,92.9,2.79,COGS 144,Social Cognition (A),B+,3.64,B+,3.36
"Trott, Sean Thomas",SP23,297,97,94.8,99.0,3.71,COGS 14A,Intro. to Research Methods (A),B+,3.65,B+,3.6
"Hoffman, Drew Ellen",SP23,196,89,97.7,95.3,3.25,COGS 14B,Intro. to Statistical Analysis (A),A-,3.83,A-,3.76
"Cooperrider, Kensy A",SP23,53,18,100.0,100.0,3.39,COGS 155,Gesture and Cognition (A),A-,3.72,B+,3.43
"Chiba, Andrea",SP23,138,35,85.3,91.2,3.95,COGS 164,Neurobiology of Motivation (A),A-,3.82,A-,3.94
"Johnson, Christine M.",SP23,356,118,93.0,94.7,4.73,COGS 17,Neurobiology of Cognition (A),B+,3.69,B+,3.42
"Rangel, Lara M",SP23,93,20,95.0,95.0,5.13,COGS 170,Brain Waves Across Scales (A),B+,3.63,B+,3.58
"Ellis, Shannon Elizabeth",SP23,345,150,95.2,98.6,5.72,COGS 18,Introduction to Python (A),B+,3.59,B+,3.53
"Johnson, Christine M.",SP23,43,11,88.9,88.9,6.5,COGS 184,Modeling/Evolution of Cognitn (A),B,3.2,B,3.09
"Tu, Zhuowen",SP23,89,23,82.6,82.6,5.46,COGS 185,Adv. Machine Learning Methods (A),A-,3.76,A-,3.81
"Shannon, Kyle Michael",SP23,35,30,100.0,100.0,3.23,COGS 8,Hands-On Computing (A),B+,3.52,B+,3.35
"Ellis, Shannon Elizabeth",SP23,295,200,93.5,97.5,3.39,COGS 9,Introduction to Data Science (A),A-,3.74,B+,3.68
"Fattal, Alexander Leor",SP23,176,74,76.1,76.1,4.47,COMM 10,Introduction to Communication (A),B+,3.62,B+,3.43
"Kidman, Shawna F",SP23,254,134,88.3,86.6,3.84,COMM 100C,"Comm, Institutions & Power (A)",B+,3.59,B,3.13
"Halm, Gavin Patrick",SP23,66,26,100.0,100.0,2.98,COMM 101,Intro Audio-Vis Media Practice (A),A-,3.96,A,4.0
"Ahn, Patricia Jeehyun",SP23,21,7,100.0,100.0,5.36,COMM 101A,Media Activism (A),A,4.0,A,4.0
"Davis, Zeinabu I.",SP23,25,9,100.0,100.0,5.17,COMM 102M,MMPP: Studio/TV (A),A-,3.89,A-,3.94
"Whitworth-Smith, Andrew C",SP23,48,37,97.3,97.3,3.69,COMM 106F,CI: The Film Industry (A),A-,3.81,B+,3.53
"Serlin, David",SP23,40,23,91.3,87.0,5.89,COMM 107,Visual Culture (A),B+,3.41,B,3.08
"Jack, Caroline Sarah",SP23,87,35,90.0,93.3,5.27,COMM 109D,MC: Advertising & Society (A),A-,3.71,B,3.27
"Jack, Caroline Sarah",SP23,49,22,73.7,73.7,4.92,COMM 109P,MC: Propaganda and Persuasion (A),B+,3.42,B-,2.9
"Vangelisti, Nicoletta Maria",SP23,46,20,89.5,94.7,4.18,COMM 113T,Intm Topics in Communication (A),A-,3.94,A-,3.8
"McKenna, Denise",SP23,32,6,100.0,100.0,5.83,COMM 113T,Intm Topics in Communication (B),A,4.0,A-,3.85
"Horwitz, Robert B",SP23,22,5,100.0,100.0,8.9,COMM 114F,"CSI: Law,Comm&Freedm of Exprsn (A)",B,3.0,B-,2.8
"Lauria, Rita Marie",SP23,21,8,50.0,62.5,5.75,COMM 114M,CSI: Communication and the Law (A),B+,3.63,B,3.11
"Metcalf, Kathryne Young",SP23,38,32,96.9,100.0,4.25,COMM 114T,CSI: Science Communication (A),A-,3.84,B+,3.62
"Tanaka, Stefan A.",SP23,42,15,66.7,60.0,6.23,COMM 126,Children and Media (A),B,3.27,B,3.09
"Fattal, Alexander Leor",SP23,23,5,20.0,20.0,5.3,COMM 140,Cinema in Latin America (A),B,3.2,B+,3.3
"Halm, Gavin Patrick",SP23,49,17,100.0,94.1,4.15,COMM 146,Adv Studies-Cultural Prductn (A),A-,3.82,A-,3.78
"Fields, Gary",SP23,32,7,100.0,100.0,3.36,COMM 156,Media and Conflict Environment (A),A-,3.71,B+,3.42
